S.No.,Order no,HFS Invoice No,HFS Invoice Date,Order no,Total Invoice Base Amount,CGST,SGST,Total Invoice Amount,IRN NO
1,PO16847361,POSM-MH2526-1556,9/9/2025,PO16847361,"  183,577.94 ","  16,522.01 ","  16,522.01 ","  216,621.96 ",441f0cd7e42bb63236891863ae59803b9e3a636a23d667f137ebf294eec7011b
2,PO16903346,POSM-MH2526-1557,9/9/2025,PO16903346,"  41,390.08 ","  3,725.11 ","  3,725.11 ","  48,840.30 ",a2649426ef8bc156b0d5dc56cf3279e65a7a91461ceeee88c97511eaed2e99c5
3,PO16903361,POSM-MH2526-1558,9/9/2025,PO16903361,"  56,911.36 ","  5,122.02 ","  5,122.02 ","  67,155.40 ",1e9fdd0f049110de2506d6a12dfcbe11421967f9580de946b0fc93621fbebac3
4,PO16911912,POSM-MH2526-1559,9/9/2025,PO16911912,  479.58 ,  43.16 ,  43.16 ,  565.90 ,f2b3cb1f9d4b28a7949c7b34d104d09de3f2213fd3844c8fc52c2d62c7c9c322
5,PO16911913,POSM-MH2526-1560,9/9/2025,PO16911913,"  1,598.61 ",  143.87 ,  143.87 ,"  1,886.35 ",d29ad63fc67d1bc234957f4e7a218c3f4bd705d8c86882d95a3d2a202b69179c
6,PO16911911,POSM-MH2526-1561,9/9/2025,PO16911911,  479.58 ,  43.16 ,  43.16 ,  565.90 ,5ccf5c2079f81469ee21f8d1bf0833d54579b93ffd6f6257f3471ca51b4bc46b
7,PO16898056,POSM-MH2526-1562,10/9/2025,PO16898056,"  382,727.89 ","  34,445.51 ","  34,445.51 ","  451,618.91 ",a2b3e1ab73760ce9038a53013ae8475ba9413d1699a04db56439fc1dcd4f509f
8,PO16899338,POSM-MH2526-1563,10/9/2025,PO16899338,"  108,072.98 ","  9,726.57 ","  9,726.57 ","  127,526.12 ",e7a4fd568398245c9f3e0213796fc334b7cb1a98bb61ed6fc263ca65685a814d
9,PO16903391,POSM-MH2526-1564,10/9/2025,PO16903391,"  88,039.77 ","  7,923.58 ","  7,923.58 ","  103,886.93 ",95bc8dfc35ad7873337f86f39710238a6e6ff228a7465bcdf1ea50ad499c840d
10,PO16903882,POSM-MH2526-1565,10/9/2025,PO16903882,"  31,042.56 ","  2,793.83 ","  2,793.83 ","  36,630.22 ",c3e42db18fe6f75bdd087b4e2b248ac8ebff4f1fd2f3ffb0824a28ea40c32367
11,PO16903881,POSM-MH2526-1566,10/9/2025,PO16903881,  711.39 ,  64.03 ,  64.03 ,  839.45 ,d5eeb2c60728bf1a0d5dd5506c1e3e1488da3e7e97a9deac6a8326095a7ecc32
12,PO16903885,POSM-MH2526-1567,10/9/2025,PO16903885,"  16,556.03 ","  1,490.04 ","  1,490.04 ","  19,536.11 ",e444403c28de3f3ed87bd800e0495c14087412dd595190c24d51ce669f287214
13,PO16903884,POSM-MH2526-1568,10/9/2025,PO16903884,"  1,568.30 ",  141.15 ,  141.15 ,"  1,850.60 ",ad26055d4205d42494df6b585d489f7f07a5cca48bf2fe1f4c8b6d8a53ade52a
14,PO16903888,POSM-MH2526-1569,10/9/2025,PO16903888,"  10,347.52 ",  931.28 ,  931.28 ,"  12,210.08 ",1ba8314de26098e88fd5ec7ef202323e285430417279a6782cb602cc83ea7bd9
15,PO16903890,POSM-MH2526-1570,10/9/2025,PO16903890,"  8,278.02 ",  745.02 ,  745.02 ,"  9,768.06 ",9b2b1110761cb098a7ab7937ae515fb257f494087056c8e0c1ca77af35ef0a73
16,PO16903887,POSM-MH2526-1571,10/9/2025,PO16903887,"  10,347.52 ",  931.28 ,  931.28 ,"  12,210.08 ",b8853c5dd1125a8515811526a605781e0fb0732fc5ab5215a3a376f3037e618a
17,PO16915163,POSM-MH2526-1572,10/9/2025,PO16915163,"  1,914.03 ",  172.26 ,  172.26 ,"  2,258.55 ",ffdcfe970fa498b6788744e5812b244539dae9b5b8e0168bde4ff22c43fd7401
18,PO16915167,POSM-MH2526-1573,10/9/2025,PO16915167,"  1,595.02 ",  143.55 ,  143.55 ,"  1,882.12 ",ef38289f447d4dcddef9e376e14eeeb474b11c10f8e66a0d2264a529c56073a7
19,PO16909122,POSM-MH2526-1574,11/9/2025,PO16909122,"  7,043.18 ",  633.89 ,  633.89 ,"  8,310.96 ",6eb80cbc9b68c352285d7ee5f4b1b03cbbf3c2705dc0dc178f7c8f4fbd333512
20,PO16903376,POSM-MH2526-1575,11/9/2025,PO16903376,"  1,760.78 ",  158.47 ,  158.47 ,"  2,077.72 ",065470236ea4a376e2531c89296e4142eb6fe8299dca3e69b28f6dda4d6cc430
