S. No.,Order no,HFS Invoice No,HFS Invoice Date,Order no,Total Invoice Base Amount,CGST,SGST,Total Invoice Amount,IRN NO
1,PO16800045,POSM-MH2526-1668,9/25/2025,PO16800045,"  183,577.94 ","  16,522.01 ","  16,522.01 ","  216,621.96 ",441f0cd7e42bb63236891863ae59803b9e3a636a23d667f137ebf294eec7011a
2,PO16801266,POSM-MH2526-1669,9/25/2025,PO16801266,"  41,390.08 ","  3,725.11 ","  3,725.11 ","  48,840.30 ",441f0cd7e42bb63236891863ae59803b9e3a636a23d667f137ebf294eec7011b
3,PO16801267,POSM-MH2526-1670,9/25/2025,PO16801267,"  56,911.36 ","  5,122.02 ","  5,122.02 ","  67,155.40 ",1e9fdd0f049110de2506d6a12dfcbe11421967f9580de946b0fc93621fbebac3
4,PO16801268,POSM-MH2526-1671,9/25/2025,PO16801268,  479.58 ,  43.16 ,  43.16 ,  565.90 ,f2b3cb1f9d4b28a7949c7b34d104d09de3f2213fd3844c8fc52c2d62c7c9c322
5,PO16801269,POSM-MH2526-1672,9/25/2025,PO16801269,"  1,598.61 ",  143.87 ,  143.87 ,"  1,886.35 ",d29ad63fc67d1bc234957f4e7a218c3f4bd705d8c86882d95a3d2a202b69179c
6,PO16801273,POSM-MH2526-1673,9/25/2025,PO16801273,  479.58 ,  43.16 ,  43.16 ,  565.90 ,5ccf5c2079f81469ee21f8d1bf0833d54579b93ffd6f6257f3471ca51b4bc46b
7,PO16806429,POSM-MH2526-1674,9/25/2025,PO16806429,"  382,727.89 ","  34,445.51 ","  34,445.51 ","  451,618.91 ",a2b3e1ab73760ce9038a53013ae8475ba9413d1699a04db56439fc1dcd4f509f
8,PO16826479,POSM-MH2526-1675,9/25/2025,PO16826479,"  108,072.98 ","  9,726.57 ","  9,726.57 ","  127,526.12 ",e7a4fd568398245c9f3e0213796fc334b7cb1a98bb61ed6fc263ca65685a814d
9,PO16826482,POSM-MH2526-1676,9/25/2025,PO16826482,"  88,039.77 ","  7,923.58 ","  7,923.58 ","  103,886.93 ",95bc8dfc35ad7873337f86f39710238a6e6ff228a7465bcdf1ea50ad499c840d
10,PO16826484,POSM-MH2526-1677,9/25/2025,PO16826484,"  31,042.56 ","  2,793.83 ","  2,793.83 ","  36,630.22 ",c3e42db18fe6f75bdd087b4e2b248ac8ebff4f1fd2f3ffb0824a28ea40c32367
