"orderNo","status","success","url","timestamp","errors","message"
"PO16800045","PROCESSED",,,"2025-09-25T10:06:19.422Z",,"Order have been successfully processd!"
"PO16801266","PROCESSED",,,"2025-09-25T10:07:13.146Z",,"Order have been successfully processd!"
"PO16801267","PROCESSED",,,"2025-09-25T10:08:07.275Z",,"Order have been successfully processd!"
"PO16801268","PROCESSED",,,"2025-09-25T10:09:05.915Z",,"order no: PO16801268 amount on platform is: 7841.48, which is less than total invoice base amount found in the sheet: 479.58"
"PO16801269","PROCESSED",,,"2025-09-25T10:09:49.831Z",,"order no: PO16801269 amount on platform is: 3136.59, which is less than total invoice base amount found in the sheet: 1598.61"
"PO16801273","PROCESSED",,,"2025-09-25T10:10:34.613Z",,"order no: PO16801273 amount on platform is: 2172.98, which is less than total invoice base amount found in the sheet: 479.58"
"PO16806429","PROCESSED",,,"2025-09-25T10:11:18.694Z",,"Order have been successfully processd!"
"PO16826479","PROCESSED",,,"2025-09-25T10:12:13.345Z",,"Order have been successfully processd!"
"PO16826482","PROCESSED",,,"2025-09-25T10:13:12.260Z",,"Order have been successfully processd!"
"PO16826484","PROCESSED",,,"2025-09-25T10:14:11.215Z",,"Order have been successfully processd!"
"PO16800045","PROCESSED",true,"https://go.tradeshift.com/#/Tradeshift.InvoiceLG/create?execution=e1s1&orderId=5fcc79be-7fe4-5484-a493-7619db5768aa&companyAccountId=98b5f5f6-6cdb-4c88-8788-10b438bb3d0c","2025-09-25T10:06:19.422Z",,"Order have been successfully processd!"
"PO16801266","PROCESSED",true,"https://go.tradeshift.com/#/Tradeshift.InvoiceLG/create?execution=e2s1&orderId=757283cf-3ca2-5dde-a46c-22ed1b17605b&companyAccountId=98b5f5f6-6cdb-4c88-8788-10b438bb3d0c","2025-09-25T10:07:13.146Z",,"Order have been successfully processd!"
"PO16801267","PROCESSED",true,"https://go.tradeshift.com/#/Tradeshift.InvoiceLG/create?execution=e3s1&orderId=ecc39f81-85f2-56d3-8643-7a14f5c956a0&companyAccountId=98b5f5f6-6cdb-4c88-8788-10b438bb3d0c","2025-09-25T10:08:07.275Z",,"Order have been successfully processd!"
"PO16801268","PROCESSED",false,"https://go.tradeshift.com/#/Tradeshift.InvoiceLG/create?execution=e4s1&orderId=20a6fc04-ba35-537c-b7af-0bf6981ab8fd&companyAccountId=98b5f5f6-6cdb-4c88-8788-10b438bb3d0c","2025-09-25T10:09:05.915Z",,"order no: PO16801268 amount on platform is: 7841.48, which is less than total invoice base amount found in the sheet: 479.58"
"PO16801269","PROCESSED",false,"https://go.tradeshift.com/#/Tradeshift.InvoiceLG/create?execution=e5s1&orderId=709ec7c1-908e-5e54-b39e-146e6f90f9c9&companyAccountId=98b5f5f6-6cdb-4c88-8788-10b438bb3d0c","2025-09-25T10:09:49.831Z",,"order no: PO16801269 amount on platform is: 3136.59, which is less than total invoice base amount found in the sheet: 1598.61"
"PO16801273","PROCESSED",false,"https://go.tradeshift.com/#/Tradeshift.InvoiceLG/create?execution=e6s1&orderId=4d427855-d580-5525-83e6-ce549131f1d4&companyAccountId=98b5f5f6-6cdb-4c88-8788-10b438bb3d0c","2025-09-25T10:10:34.613Z",,"order no: PO16801273 amount on platform is: 2172.98, which is less than total invoice base amount found in the sheet: 479.58"
"PO16806429","PROCESSED",true,"https://go.tradeshift.com/#/Tradeshift.InvoiceLG/create?execution=e7s1&orderId=5311e010-6e24-5675-a1dd-6815138da5ea&companyAccountId=98b5f5f6-6cdb-4c88-8788-10b438bb3d0c","2025-09-25T10:11:18.694Z",,"Order have been successfully processd!"
"PO16826479","PROCESSED",true,"https://go.tradeshift.com/#/Tradeshift.InvoiceLG/create?execution=e8s1&orderId=e8b36244-9431-58c5-aa55-945d37a6b261&companyAccountId=98b5f5f6-6cdb-4c88-8788-10b438bb3d0c","2025-09-25T10:12:13.345Z",,"Order have been successfully processd!"
"PO16826482","PROCESSED",true,"https://go.tradeshift.com/#/Tradeshift.InvoiceLG/create?execution=e9s1&orderId=13906ed5-d49c-5e94-9247-43871c7f09fa&companyAccountId=98b5f5f6-6cdb-4c88-8788-10b438bb3d0c","2025-09-25T10:13:12.260Z",,"Order have been successfully processd!"
"PO16826484","PROCESSED",true,"https://go.tradeshift.com/#/Tradeshift.InvoiceLG/create?execution=e10s1&orderId=f704405e-f072-50e0-8242-3c77d5d22b82&companyAccountId=98b5f5f6-6cdb-4c88-8788-10b438bb3d0c","2025-09-25T10:14:11.215Z",,"Order have been successfully processd!"
